Annotation order,id,Position,Gold skills,System A predictions,System B predictions,System A TP labels,System A FP labels,System A FN labels,System A TP,System A FP,System A FN,System A Exact set match,System B TP labels,System B FP labels,System B FN labels,System B TP,System B FP,System B FN,System B Exact set match
1,0031e89e-0730-524b-bca2-7d7e5704dd3d,"Backend developer (Python, Golang or C#) Short Term",python,python,python,python,none,none,1,0,0,True,python,none,none,1,0,0,True
2,04542ec5-2f52-555e-9453-5c39a1c41e2b,Data Engineer,python; sql,python; sql,python; sql,python; sql,none,none,2,0,0,True,python; sql,none,none,2,0,0,True
3,0494e9e9-452b-552d-93c6-f484ede863e8,Computer Vision - AI Software Engineer,docker; machine learning; python,python,python,python,none,docker; machine learning,1,0,2,False,python,none,docker; machine learning,1,0,2,False
4,098ea499-fac1-5e9d-97a6-9c46bd7eb9b0,Senior Data Engineer,amazon web services; apache spark; machine learning; python,machine learning; python,amazon web services; apache spark; machine learning; python,machine learning; python,none,amazon web services; apache spark,2,0,2,False,amazon web services; apache spark; machine learning; python,none,none,4,0,0,True
5,0aa39ab0-11f4-5efd-bf54-02d936cf594c,Business Application Developer,azure; git; power bi; sql,azure; git; sql,azure; git; power bi; sql,azure; git; sql,none,power bi,3,0,1,False,azure; git; power bi; sql,none,none,4,0,0,True
6,0aecc0af-b984-5cd8-945d-6a6553671341,Fullstack Python/Django/React Developer,python,python,python,python,none,none,1,0,0,True,python,none,none,1,0,0,True
7,0dae9522-7a5d-5888-8821-3ca2b3f03b23,Big Data Engineer,apache spark; machine learning; python; sql,machine learning; python; sql,apache spark; machine learning; python; sql,machine learning; python; sql,none,apache spark,3,0,1,False,apache spark; machine learning; python; sql,none,none,4,0,0,True
8,0e74af31-07dc-5621-9f7c-5c49d3f4834a,Senior Python Backend Engineer - Relocate,amazon web services; docker; git; kubernetes; mongodb; postgresql; python,docker; git; kubernetes; mongodb; postgresql; python,amazon web services; docker; git; kubernetes; mongodb; postgresql; python,docker; git; kubernetes; mongodb; postgresql; python,none,amazon web services,6,0,1,False,amazon web services; docker; git; kubernetes; mongodb; postgresql; python,none,none,7,0,0,True
9,1089b639-8242-5410-a887-16de33980af7,Python Senior,amazon web services; docker; machine learning; postgresql; python,docker; machine learning; postgresql; python,amazon web services; docker; machine learning; postgresql; python,docker; machine learning; postgresql; python,none,amazon web services,4,0,1,False,amazon web services; docker; machine learning; postgresql; python,none,none,5,0,0,True
10,12e84961-cd2e-5199-8c45-5fb970568902,Python Software Engineer,google cloud platform; mongodb; postgresql; python; sql,mongodb; postgresql; python; sql,mongodb; postgresql; python; sql,mongodb; postgresql; python; sql,none,google cloud platform,4,0,1,False,mongodb; postgresql; python; sql,none,google cloud platform,4,0,1,False
11,13196cfb-1601-5ae0-80d9-541605348acb,Analyst BPM-system,mongodb; postgresql; sql,mongodb; sql,mongodb; postgresql; sql,mongodb; sql,none,postgresql,2,0,1,False,mongodb; postgresql; sql,none,none,3,0,0,True
12,14d74ca7-1e07-5dbc-a20d-b909006f25ec,Full-stack Developer (Python 80% and FE( React or Backbone or similar) 20%),amazon web services; docker; python,docker; python,amazon web services; docker; python,docker; python,none,amazon web services,2,0,1,False,amazon web services; docker; python,none,none,3,0,0,True
13,1950b147-a527-5298-9150-259848f71c4f,Senior Python Developer (with DevOps),amazon web services; azure; docker; elasticsearch; google cloud platform; python; sql; terraform,azure; docker; google cloud platform; python; sql; terraform,amazon web services; azure; docker; google cloud platform; python; sql; terraform,azure; docker; google cloud platform; python; sql; terraform,none,amazon web services; elasticsearch,6,0,2,False,amazon web services; azure; docker; google cloud platform; python; sql; terraform,none,elasticsearch,7,0,1,False
14,1a2e2045-e8c8-5808-8f46-6e92085ea52d,Data Developer,apache kafka; python; sql,python; sql,apache kafka; python; sql,python; sql,none,apache kafka,2,0,1,False,apache kafka; python; sql,none,none,3,0,0,True
15,1b35d374-7efb-542c-86aa-8af039f4b10b,Marketing Data Analyst,machine learning; power bi; sql,machine learning; power bi; sql,machine learning; power bi; sql,machine learning; power bi; sql,none,none,3,0,0,True,machine learning; power bi; sql,none,none,3,0,0,True
16,1bfb3a6c-9766-53ba-a635-a5c0b130aa9d,Middle Python Engineer,amazon web services; azure; kubernetes; machine learning; natural language processing; python,azure; kubernetes; machine learning; natural language processing; python,amazon web services; azure; kubernetes; machine learning; natural language processing; python,azure; kubernetes; machine learning; natural language processing; python,none,amazon web services,5,0,1,False,amazon web services; azure; kubernetes; machine learning; natural language processing; python,none,none,6,0,0,True
17,1ed116ba-a0d3-5bd4-8e0a-7ed51a72e35c,Strong Middle Python Developer,machine learning; postgresql; python,machine learning; postgresql; python,machine learning; postgresql; python,machine learning; postgresql; python,none,none,3,0,0,True,machine learning; postgresql; python,none,none,3,0,0,True
18,2032982c-74ee-5ed4-856d-713e4782d81c,Middle Python Backend Developer,amazon web services; docker; mongodb; postgresql; python,mongodb; postgresql; python,amazon web services; mongodb; postgresql; python,mongodb; postgresql; python,none,amazon web services; docker,3,0,2,False,amazon web services; mongodb; postgresql; python,none,docker,4,0,1,False
19,20b8d737-ce1b-51c9-982f-cb864648dc10,Business Data Analyst,power bi; sql,power bi; sql,power bi; sql,power bi; sql,none,none,2,0,0,True,power bi; sql,none,none,2,0,0,True
20,20dd6d4e-8c76-5fe7-9aa4-24e86e7b7256,Research Data Engineer,machine learning; python; sql,machine learning; python; sql,machine learning; python; sql,machine learning; python; sql,none,none,3,0,0,True,machine learning; python; sql,none,none,3,0,0,True
21,21ef50a8-5e24-5366-8162-a2eb8e84963d,Python Developer,python,python,python,python,none,none,1,0,0,True,python,none,none,1,0,0,True
22,22e58011-8190-5bc3-90a7-beca5ea14b55,Middle Python Developer,apache kafka; azure; docker; kubernetes; python,azure; docker; kubernetes; python,apache kafka; azure; docker; kubernetes; python,azure; docker; kubernetes; python,none,apache kafka,4,0,1,False,apache kafka; azure; docker; kubernetes; python,none,none,5,0,0,True
23,28fb9103-dca1-509b-9666-2112e564071a,Data Analytics Engineer,amazon web services; apache airflow; apache spark; docker; machine learning; pandas; python; sql,apache spark; docker; pandas; python; sql,amazon web services; apache airflow; apache spark; docker; machine learning; pandas; python; sql,apache spark; docker; pandas; python; sql,none,amazon web services; apache airflow; machine learning,5,0,3,False,amazon web services; apache airflow; apache spark; docker; machine learning; pandas; python; sql,none,none,8,0,0,True
24,2a872da1-da34-59a3-8053-b3f97186f460,Python developer,none,none,none,none,none,none,0,0,0,True,none,none,none,0,0,0,True
25,2b70784f-2e41-5aeb-a4bc-466ea6fc1829,data scientist junior,machine learning; natural language processing; python; scikit-learn,machine learning; python; scikit-learn,machine learning; natural language processing; python; scikit-learn,machine learning; python; scikit-learn,none,natural language processing,3,0,1,False,machine learning; natural language processing; python; scikit-learn,none,none,4,0,0,True
