Canonical label,Gold support,System A TP,System A FP,System A FN,System A precision,System A recall,System A F1,System B TP,System B FP,System B FN,System B precision,System B recall,System B F1,Recovered by System B
python,83,83,0,0,1.0,1.0,1.0,83,0,0,1.0,1.0,1.0,0
sql,44,44,0,0,1.0,1.0,1.0,44,0,0,1.0,1.0,1.0,0
amazon web services,33,3,0,30,1.0,0.09090909090909091,0.16666666666666666,33,0,0,1.0,1.0,1.0,30
machine learning,33,25,0,8,1.0,0.7575757575757576,0.8620689655172413,32,0,1,1.0,0.9696969696969697,0.9846153846153847,7
postgresql,28,23,0,5,1.0,0.8214285714285714,0.9019607843137255,27,0,1,1.0,0.9642857142857143,0.9818181818181818,4
docker,20,18,0,2,1.0,0.9,0.9473684210526315,18,0,2,1.0,0.9,0.9473684210526315,0
google cloud platform,20,3,0,17,1.0,0.15,0.2608695652173913,15,0,5,1.0,0.75,0.8571428571428571,12
git,19,19,0,0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,0
azure,16,16,0,0,1.0,1.0,1.0,16,0,0,1.0,1.0,1.0,0
mongodb,14,12,0,2,1.0,0.8571428571428571,0.9230769230769231,13,0,1,1.0,0.9285714285714286,0.9629629629629629,1
apache spark,11,3,0,8,1.0,0.2727272727272727,0.42857142857142855,11,0,0,1.0,1.0,1.0,8
kubernetes,11,8,0,3,1.0,0.7272727272727273,0.8421052631578947,10,0,1,1.0,0.9090909090909091,0.9523809523809523,2
natural language processing,8,5,0,3,1.0,0.625,0.7692307692307693,8,0,0,1.0,1.0,1.0,3
power bi,8,4,0,4,1.0,0.5,0.6666666666666666,8,0,0,1.0,1.0,1.0,4
terraform,7,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,0
scikit-learn,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,6,0,0,1.0,1.0,1.0,1
apache kafka,5,0,0,5,0.0,0.0,0.0,5,0,0,1.0,1.0,1.0,5
pandas,5,5,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,0
apache airflow,4,1,0,3,1.0,0.25,0.4,4,0,0,1.0,1.0,1.0,3
elasticsearch,4,3,0,1,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.75,0.8571428571428571,0
