Annotation order,id,Position,System A predictions,System A prediction count
1,0031e89e-0730-524b-bca2-7d7e5704dd3d,"Backend developer (Python, Golang or C#) Short Term",python,1
2,04542ec5-2f52-555e-9453-5c39a1c41e2b,Data Engineer,python; sql,2
3,0494e9e9-452b-552d-93c6-f484ede863e8,Computer Vision - AI Software Engineer,python,1
4,098ea499-fac1-5e9d-97a6-9c46bd7eb9b0,Senior Data Engineer,machine learning; python,2
5,0aa39ab0-11f4-5efd-bf54-02d936cf594c,Business Application Developer,azure; git; sql,3
6,0aecc0af-b984-5cd8-945d-6a6553671341,Fullstack Python/Django/React Developer,python,1
7,0dae9522-7a5d-5888-8821-3ca2b3f03b23,Big Data Engineer,machine learning; python; sql,3
8,0e74af31-07dc-5621-9f7c-5c49d3f4834a,Senior Python Backend Engineer - Relocate,docker; git; kubernetes; mongodb; postgresql; python,6
9,1089b639-8242-5410-a887-16de33980af7,Python Senior,docker; machine learning; postgresql; python,4
10,12e84961-cd2e-5199-8c45-5fb970568902,Python Software Engineer,mongodb; postgresql; python; sql,4
11,13196cfb-1601-5ae0-80d9-541605348acb,Analyst BPM-system,mongodb; sql,2
12,14d74ca7-1e07-5dbc-a20d-b909006f25ec,Full-stack Developer (Python 80% and FE( React or Backbone or similar) 20%),docker; python,2
13,1950b147-a527-5298-9150-259848f71c4f,Senior Python Developer (with DevOps),azure; docker; google cloud platform; python; sql; terraform,6
14,1a2e2045-e8c8-5808-8f46-6e92085ea52d,Data Developer,python; sql,2
15,1b35d374-7efb-542c-86aa-8af039f4b10b,Marketing Data Analyst,machine learning; power bi; sql,3
16,1bfb3a6c-9766-53ba-a635-a5c0b130aa9d,Middle Python Engineer,azure; kubernetes; machine learning; natural language processing; python,5
17,1ed116ba-a0d3-5bd4-8e0a-7ed51a72e35c,Strong Middle Python Developer,machine learning; postgresql; python,3
18,2032982c-74ee-5ed4-856d-713e4782d81c,Middle Python Backend Developer,mongodb; postgresql; python,3
19,20b8d737-ce1b-51c9-982f-cb864648dc10,Business Data Analyst,power bi; sql,2
20,20dd6d4e-8c76-5fe7-9aa4-24e86e7b7256,Research Data Engineer,machine learning; python; sql,3
21,21ef50a8-5e24-5366-8162-a2eb8e84963d,Python Developer,python,1
